减少一些香气,将香气扩散器的出口风量设置为低,设置香气扩散器出口风量为低,,
关闭加湿功能,好的。 关闭空调的加湿模式,关闭空调加湿模式,,
将副驾驶座椅设为舒适的温度,将副驾驶座位设定为舒适的温度！,设置副驾空调温度，设置空调风速2档,,
打开令人放松的灯光,好的。 我们接受您的请求。 目前，车内照明设置为暖橙色。,关闭氛围灯，设置氛围灯颜色为蓝色,,
后视镜稍微往上调节,好的。 后视镜的角度向上调整 2 度。,"副驾座椅往上调节,左后视镜角度往上调节2度,右后视镜角度往上调节2度",,
空气干燥，因此请增加湿度。,好的。 将空调设置为加湿模式,"打开空调,设置空调制热模式,关闭空调风扇",,
将空调设置为节能设置,空调的风量设置为低,"设置空调风速1档,打开空调制热模式关闭,打开空调制冷模式",,
稍微放倒副驾驶座椅的靠背,好的。 稍微倾斜副驾驶座椅的靠背。,副驾座椅靠背往后调节，主驾出风口方向为吹脸+吹脚，设置空调风速2档，设置氛围灯颜色为蓝色,,
将暖气调高一点,我将空调温度设置为增加 2 度。,"设置主驾空调温度,设置副驾空调温度",,
我想去除窗玻璃上的雾气。,明白了，将空调设置为除湿模式。,"打开空调,关闭空调制热模式,设置空调风速1档,设置主驾空调温度,设置空气循环模式为内循环",,
仅打开左侧的车窗,好的。 仅打开左侧的车窗。,打开左后车窗,,
调亮灯光,好的。 我将车内光线设置为100%,前排调光玻璃调亮，后排调光玻璃调亮,,
想更容易听到周围的声音,这样啊。 为了让您更容易听到周围的声音，关闭降噪功能。,关闭自动调温模式,,
上下车时打开台阶灯,打开台阶灯。,打开台阶灯,,
车内温度设得别太低,车内温度设为 23 度。,"设置主驾空调温度,设置副驾空调温度",,
将屋顶灯设置为暖色,将屋顶灯更改为更暖的色调,关闭氛围灯，设置氛围灯颜色为黄色,,
脚下需要加热,打开了脚下的加热器,打开方向盘加热,,
加热副驾驶座椅,打开副驾驶座椅上的加热器,"设置副驾座椅加热模式1档,设置副驾座椅加热模式2档,设置副驾座椅加热模式3档",,
更容易集中精力驾驶的音乐,好的。 播放集中精力列表中的音乐。,播放钢琴曲，打开空调制热模式，设置主驾座椅自动通风加热，设置副驾座椅自动通风加热，设置主驾出风口方向为吹脸+吹脚，设置副驾出风口方向为吹脸+吹脚，设置主驾座椅加热模式3档，设置副驾座椅加热模式3档，设置空调风速4档，设置氛围灯颜色为蓝色,,
开启车道保持模式,好的。 打开车道保持辅助系统。,"打开同步模式,启动同步模式",,
后面的一辆车正在靠近,为确保安全，启动了后方警报系统,"开启同步模式,打开远光灯,关闭远光灯",,
将行驶速度设置为较低的速度,好的。 将巡航控制速度设置为 60 公里/小时。,设置巡航控制速度为60公里/小时,,
将模式设置为适合在山路上行驶。,增强的牵引力控制。 为了安全驾驶，请配合平稳驾驶。,"关闭同步模式,启动同步模式",,
打开紧急制动支持,紧急制动支持系统启动。 为确保汽车的安全，自动制动功能被激活。,"启动紧急制动支持系统,激活自动制动功能",,
在陡坡上打开安全功能,我打开了坡道起步辅助功能。 提高斜坡的安全性。,开启坡道起步辅助功能,,
扩展侧面视角,好的。 打开侧面摄像头,打开侧面摄像头,,
倒车时打开摄像头,好的。 倒车时打开摄像头。,"启动同步模式,打开摄像头",,
确认轮胎的温度,显示轮胎温度监控以检查轮胎的温度。,打开轮胎温度监控,,
打开雨刮器以确保能见度,打开了雨刮器。 我将帮您确保能见度，辅助您安全驾驶。,"前雨刷高速摆动,打开近光灯",,
将灯设置为自动关闭,发动机停止时，灯将会被自动关闭。,"关闭位置灯,关闭近光灯,关闭前雨刷,关闭主驾车门,关闭副驾车门,折叠左后视镜,折叠右后视镜",,
切换到省电的模式,好的。 将其设置为节能模式。,"启动同步模式,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭氛围灯,关闭主驾车门,关闭副驾车门",,
检查充电桩的闲置状况,好的。 导航屏幕上显示充电点的可用状态。,打开导航，设置空气循环模式为内循环,,
检查轮胎压力,打开了胎压监测器。 检查轮胎压力是否正常。,打开胎压监测器,,
将车内温度保持在合适的范围内,好的。 我将空调设置为 22 度,"设置主驾空调温度, 设置副驾空调温度, 空调设置为制热模式关闭, 设置空调风速2档",,
显示维护信息,显示维护信息花园。 您可以查看详细信息，例如车辆状况和剩余油位。,打开导航，播放舒缓音乐，空调设置为制冷模式，空调风速调整为二档，设置氛围灯颜色为蓝色,,
检查油位,开始检查油位。 结果将立即显示。,检查油位，结果将立即显示。,,
分析驾驶趋势,打开驾驶分析功能。 对驾驶趋势进行分析，以创造更安全、更舒适的驾驶环境。,"启动同步模式,导航",,
给我推荐最快的路线,好的。 最快的路线显示在导航屏幕上。,打开导航,,
检查电池状态,好的。 检查电池状态,检查电池状态，打开导航,,
保存驾驶履历,保存驾驶履历。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,关闭前雨刷,关闭全部车窗,关闭主驾车门,关闭副驾车门,折叠左后视镜,折叠右后视镜,导航到目的地",,
前往附近加油站的路线,好的。 前往加油站的路线显示在导航屏幕上。,打开导航,,
实时显示驾驶状态,开始实时实时驾驶数据。 显示当前速度、发动机速度、车速等。,"打开导航,设置空调风速2档,设置主驾空调温度26度,设置副驾空调温度26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
记录下车时车辆的位置,明白了。 车辆位置存储在内存中。,"打开导航,播放舒缓音乐,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
实时显示驾驶时的油耗,好的。 实时燃油经济性信息显示在主屏幕上。,"导航到目的地,实时燃油经济性信息显示在主屏幕",,
设为回家路线,回家路线吗？ 那把目的地设定为您的家。,"打开导航,目的地设定为您的家",,
设置限速,限速设置为 100 公里/小时。 巡航控制现启用。,"设置巡航控制速度为100公里/小时,启动同步模式",,
在高速公路模式下高效驾驶,要在高速公路模式下高效驾驶，打开高速省油模式。,"启动同步模式,关闭空调,设置空气循环模式为内循环,关闭车窗",,
记录驾驶结束后的情况,在驾驶操作完成后记录情况,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
显示过去1个月的燃油经济性趋势,好的。 显示过去一个月的燃油经济性趋势。,打开导航,,
查看目的地的停车场价格,好的。 查看目的地停车场的停车价格。,"导航到目的地,查询停车场信息",,
比较最短和最高效的路线,想比较一下路线啊。 最短和最高效的路线会一并显示在导航屏幕上。,打开导航，启动同步模式,,
自定义驾驶时的提醒,要自定义驾驶提醒，请在导航菜单中选择警报设置。,打开导航菜单，选择警报设置，设置空调风速为2档，设置氛围灯颜色为蓝色,,
加快导航语速,好的。 提高导航语音的速度。,打开导航，提高导航语音速度,,
与朋友分享预计到达时间,您想给您的朋友发送消息以分享您的预计到达时间吗？,"打开导航,停止音乐,播放舒缓音乐",,
显示车辆诊断结果,好的显示车辆诊断的结果。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
查看上次加油的日期,显示加油历史记录。 过去的加油日期如下：,打开导航，停止音乐，播放舒缓音乐,,
上车时自动启动路线引导,好的。 开启自动路线引导。,打开导航,,
设置远程启动,打开远程启动功能。 车辆立即运行。,打开远程启动功能,,
降低座椅的振动,好的。 座椅的振动抑制功能开启。,"打开主驾座椅按摩,打开副驾座椅按摩",,
稍微加热方向盘,方向盘加热器设置为中等温度。,"打开方向盘加热,设置主驾座椅加热模式2档",,
手机无线充电,好的。 打开无线充电器。,打开无线充电器,,
将车内灯调至蓝色,将车舱内的照明设置为蓝色。,设置氛围灯颜色为蓝色,,
膝盖很冷,好的。 打开膝部加热器。,"打开主驾座椅加热模式1档,打开副驾座椅加热模式1档",,
在意外面的噪音,如果您在意外面的噪音，为您打开降噪功能。,"关闭全部车窗,启动同步模式",,
座椅调冷,好的。 我打开了座椅制冷。,"打开主驾座椅通风模式1档,打开副驾座椅通风模式1档",,
恢复到放松的温度,好的。 将空调设置为 22 度。,"设置主驾空调温度, 设置副驾空调温度",,
车内保持安静,如果您想让车内保持安静，打开降噪功能。,停止音乐,,
关小副驾驶侧的空调,明白了。 减弱副驾驶座位的空调。,"设置副驾空调温度,设置空调风速2档",,
扬声器平衡在中央,好的。 将扬声器平衡设置为中间。,"播放舒缓音乐,设置扬声器平衡为中间",,
方向盘降温,打开方向盘的制冷功能。,"打开方向盘加热,设置主驾座椅通风模式1档",,
打开挡风玻璃遮阳帘,打开挡风玻璃遮阳伞。,"前排调光玻璃调暗,后排调光玻璃调暗",,
防止车窗玻璃起雾,好的。 为防止车窗玻璃起雾，开启防雾除霜。,"打开空调制热模式,设置主驾出风口方向为除霜,设置副驾出风口方向为除霜,关闭全部车窗",,
扩大行李空间,将后排座椅稍微向前折叠，为您提供更多行李空间。,"副驾座椅往后调节,主驾座椅往后调节",,
略微降低侧窗,好的。 稍微降低侧窗。,"打开副驾车窗,打开后左车窗,打开后右车窗",,
将运行过程中的温度提高 1 度,好的。 将温度提高1度,"设置主驾空调温度,设置副驾空调温度",,
关闭屋顶窗户的遮阳帘,好的。 关闭天窗的遮阳帘。,关闭天窗，前排调光玻璃调亮，后排调光玻璃调亮,,
座椅往后倾斜,好的。 向后倾斜座椅靠背。,"主驾座椅靠背往后调节,副驾座椅靠背往后调节",,
在乘客座椅上保持恒定温度,我将乘客座椅的温度设置为 22 度,"设置副驾空调温度, 设置主驾座椅通风模式1档",,
打开智能手机支架,我打开了手机支架。,打开手机支架,,
稍微抬高头枕,头枕向上移动了 2 厘米。,"主驾座椅靠背往上调节,副驾座椅靠背往上调节",,
使挡风玻璃上的视野更亮,我打开了除霜器。,"打开空调制热模式,设置主驾出风口方向为除霜,设置副驾出风口方向为除霜",,
稍微调高音频中的低音,好的。 提高了音频的低音。,"播放流行音乐,设置音乐低音增强",,
调暗仪表的亮度,我将仪表照度设置为 50%,"前排调光玻璃调暗,后排调光玻璃调暗",,
防止车内太干,为了防止车内干燥，我打开了空调的加湿模式。,打开空调加湿模式,,
检查盲点,好的。 启动盲点监控系统。,"启动同步模式,打开PM2.5空气净化器",,
将座椅的温度设置为自动调整,好的。 座椅温度控制设置为自动调节,"关闭PM2.5空气净化器,打开空调,设置空调风速3档,设置主驾座椅通风模式1档,设置主驾座椅加热模式1档,设置副驾座椅通风模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
检查制动器的有效性,我们将检查制动系统的状况。,检查制动系统状况,,
开启坡度模式,我打开了斜坡模式。 该车辆支持在斜坡上行驶时的安全驾驶。,"启动同步模式,关闭同步模式",,
留意右侧的车辆,好的。 留意右侧的车辆，以确保您的安全。,留意右侧的车辆，以确保您的安全。,,
检查后备箱是否安全关闭,我们经检查了后备箱锁传感器。 安全锁定,关闭后备箱,,
夜间视力增强,好的。 开启夜视功能。,打开夜视功能,,
打开车内摄像头,车内的摄像头启动，请注意保护您的隐私。,打开摄像头监视器，关闭摄像头监视器,,
变道时要小心,好的。 激活变道辅助系统，以帮助您安全地变道。,"开启同步模式,启动导航",,
开启后方车辆接近警报,好的。 打开后方车辆接近的警报。,打开后方车辆接近的警报,,
我要进入一条黑暗的道路，需要调整灯光。,好的。 将大灯设置为更亮。,打开远光灯,,
自动消除窗户雾化。,我将其设置为自动消除窗户雾化。,"打开空调制热模式,设置主驾出风口方向为除霜,设置副驾出风口方向为除霜",,
调整后视镜以获得更好的视野,后视镜的角度自动调整到最佳方向。,展开左后视镜，展开右后视镜,,
打开行车记录仪,好的。 我们将打开行车记录仪并开始录像。,"打开同步模式,启动同步模式",,
打开标志识别，然后单击,好的。 标志识别系统打开。,"启动同步模式,关闭同步模式后的第一个指令没有直接对应的车辆反馈内容，因此返回空：",,
开启车道偏离避让功能,好的。 开启车道偏离保护。,"启动同步模式,关闭同步模式",,
检测危险区域,好的。 打开危险区域检测系统。,"打开同步模式,启动同步模式",,
检查前方是否有障碍物,好的。 打开前方障碍物检测系统。,打开前方障碍物检测系统。,,
检查安全气囊的状态,正在检查安全气囊的状态。 目前，安全气囊功能正常。,检查安全气囊状态，安全气囊功能正常,,
车间距不要太近,打开车间距控制辅助系统。请安心驾驶。,"启动同步模式,关闭同步模式",,
倒车时注意周围,车辆会自动打开360度视图，以确保倒车时的安全。,"启动同步模式,关闭同步模式后开启导航",,
减少挡风玻璃反射,将开启挡风玻璃的反射减少模式，为您减少挡风玻璃的反射。,前排调光玻璃调暗,,
检查一下后座的安全带,开启安全带佩戴警告系统。检查安全带是否系好。,"打开安全带佩戴警告系统,检查安全带是否系好",,
省电模式,好的。 将其设置为节能模式。,"启动同步模式,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭氛围灯,关闭主驾车门,关闭副驾车门",,
获取实时交通拥堵信息,好的。 获取实时交通拥堵信息并显示在导航屏幕上。,打开导航，查询实时交通信息,,
查看目的地的温度和天气,好的。 将在导航屏幕上显示目的地的天气信息。,打开导航，导航到目的地，显示天气信息,,
告诉我下次加油的时间,将显示下次加油的大致时间。 根据车辆的状况，我们将告诉您加油的时机。,关闭全部车窗，打开导航,,
降低油耗的驾驶模式,打开节能驾驶模式。 为您控制燃料消耗。,"启动同步模式,设置空调风速1档,关闭主驾座椅加热模式,关闭副驾座椅加热模式,关闭氛围灯",,
查看电池充电历史记录,好的。 将显示电的池历史记录。,打开导航,,
我想知道总驾驶时间,好的。 总行驶时间将显示在主屏幕上。,"导航到目的地,总行驶时间将显示在主屏幕上",,
检查气压是否降低,正在检确认轮胎气压压监测器。 请稍等。,检查轮胎气压监测器,,
预订目的地附近的停车位,好的。 目的地周围停车场的预订信息将显示在导航屏幕上。,打开导航,,
与朋友分享驾驶情况,如果您想与朋友分享您的驾驶情况，我们会通过消息发送您的驾驶数据，但我们希望保护您的隐私，因为驾驶数据可能包括您的位置信息和行动轨迹的历史记录。,"打开同步模式,关闭同步模式",,
打开导航屏幕的缩小显示,好的。 将为您把屏幕的尺寸缩小。,缩小屏幕尺寸,,
开启省油模式,节能模式激活。 在省油模式下您可以实现更节能的驾驶。,"关闭空调,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环",,
优化电池使用效率,将电池的节能模式设置为开启。 以提高汽车电池的使用效率。,"启动同步模式,关闭同步模式",,
以现在的速度调到最佳模式,调整到节能模式。,"启动同步模式,设置空调风速1档,设置空气循环模式为内循环,关闭主驾座椅加热模式,关闭副驾座椅加热模式,关闭氛围灯,关闭前雨刷,关闭全部车窗,关闭主驾车门,关闭副驾车门,折叠左后视镜,折叠右后视镜,导航",,
提高辅助驾驶功能的强度,将提高辅助驾驶功能的强度。,"启动同步模式,打开PM2.5空气净化器",,
告诉我充电点的空闲状况,好的。 开启有关充电点的通知。,打开导航,,
显示到下一条弯道的距离,好的。 到下一条弯道的距离将显示在导航屏幕上。,打开导航,,
查看整个路线的海拔,好的。 导航屏幕上将会显示整个路线的海拔差。,打开导航,,
将驾驶数据备份到云端,开始备份数据。 云端同步中，请稍等。,"启动同步模式,关闭同步模式",,
查看整个路线的天气信息,好的。 将在导航屏幕上显示整个路线的天气信息。,打开导航，导航到目的地,,
降低空调的功耗,把空调的节能模式设置为打开。,打开自动调温模式,,
实时监测轮胎温度,要实时监测轮胎温度，请查看轮胎温度检测仪。,查看轮胎温度检测仪,,
查看过去一周的行驶距离,显示过去 1 周的行驶距离。,导航到目的地，打开同步模式，关闭同步模式,,
根据电池电量设置路线,好的。 将根据电池电量设置路线。 在有充电点的基础上选择最佳路线，实现节能驾驶。,打开导航，设置自动调温模式,,
设定成恒温,好的。 在自动模式下将空调设置为 22 度。,"打开自动调温模式,设置主驾空调温度,设置副驾空调温度",,
我想看到更多周围的风景,窗户将会打开 10%，请尽情欣赏风景吧！,打开全部车窗10%,,
将驾驶模式设置为安静,好的，将驾驶模式切换到静音。,"启动同步模式,关闭空调风扇,设置主驾出风口方向为除霜,设置副驾出风口方向为除霜,关闭氛围灯,设置空气循环模式为内循环",,
缩小导航画面,好的。 缩小导航屏幕。,缩小导航屏幕,,
将座椅加热器调至低温,好的。 将座椅加热器设置为低温。,"设置主驾座椅加热模式1档,设置副驾座椅加热模式1档",,
把靠背稍微抬高,好的。 将为您把靠背稍微向前调整。,主驾座椅靠背往前调节,,
把音频调整的抑扬顿挫,是想要声音抑扬顿挫吗？ 为您把音频设置切换到动态模式吧。,"播放钢琴曲,设置氛围灯闪烁模式",,
更遮阳一点,将为您关闭天窗遮阳板。 温室效应减少，增加车内阴凉的空间。,"关闭天窗,设置空气循环模式为内循环,打开空调制热模式,设置空调风速为1档,设置氛围灯颜色为蓝色",,
把窗完全关死,好的。 完全关闭窗户。,关闭全部车窗,,
打开脚灯,好的。 为您打开脚灯。,打开位置灯,,
调成可以读书的照明,尊敬的乘客，为您打开阅读灯。,打开位置灯,,
让头上凉快一点,好的。 将空调的风向调整到头部。,"设置主驾出风口方向为吹脸,设置副驾出风口方向为吹脸",,
把座椅调软一点,将座椅的硬度调低了一级。,"设置主驾座椅硬度1档,设置副驾座椅硬度1档",,
关掉脚下的暖气,好的。 关掉脚下的加热器。,关闭方向盘加热,,
把音乐的节奏调慢一点,从放松列表中播放音乐吧，这样音乐的节奏会更平静一些。,播放舒缓音乐,,
把空调调凉,好的。 将空调调凉并将温度设置为 20 度。,"打开空调,关闭全部车窗,设置主驾空调温度为20度,设置副驾空调温度为20度,设置空气循环模式为内循环",,
把座椅往后调一点,将座椅向后调整 5 厘米，如果与您想要的位置不同，请告诉我。,"主驾座椅往后调节,副驾座椅往后调节",,
把后视镜调高一点,好的。 将后视镜稍微向上调整。,展开左后视镜，展开右后视镜往上调节,,
切换氛围灯,为您切换了氛围灯并将其设置为暖色。请享受舒适的空间！,设置氛围灯颜色为黄色，关闭全部车窗，空调设置为制冷模式，空调风速调整为二档，设置主驾出风口方向为吹脸+吹脚，设置副驾出风口方向为吹脸+吹脚，设置主驾座椅通风模式3档，设置副驾座椅通风模式3档,,
恒定后座的温度,好的。将后座空调设置为 22 度。,"设置主驾空调温度,设置副驾空调温度,设置后排空调温度为22度",,
增强音频的低音,好的。 将音频低音设置为强模式。,"播放流行音乐,设置空调风速2档,关闭全部车窗,设置氛围灯颜色为蓝色,设置音频低音为强模式",,
打开地板的暖气,好的。 打开了暖气。,"打开空调,设置空调制热模式,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档",,
将灯光设置为蓝色,将为您把氛围灯的颜色设置为蓝色,设置氛围灯颜色为蓝色,,
给我暖暖背,好的。为您打开了背部的座椅加热器。,"设置主驾座椅加热模式1档,设置副驾座椅加热模式1档",,
打开遮阳板,好的。将为您打开遮阳板。,展开遮阳板,,
把副驾驶座椅稍微放倒,好的。将副驾驶座椅稍微向后倒。,副驾座椅往后调节,,
播放让我放松的声音,将播放让您感到放松的声音,播放舒缓音乐，设置氛围灯呼吸模式,,
调低音频的音量,好的。 降低音频的音量。,停止音乐，设置空调风速1档，关闭全部车窗,,
让头顶的空气流通,好的。 将为您打开天窗通风。,打开天窗,,
把暖气关一下,空调的暖风功能关闭。,关闭空调制热模式,,
让驾驶员座椅更硬一点,好的。 将驾驶员座椅设置得更硬一些。,设置主驾座椅硬度为3档,,
把后座的空调调大一点,好的。 将为您把后排座椅的空调略微调高。,"设置主驾空调温度,设置副驾空调温度",,
降低音乐的混响效果,好的。将为您减弱音乐的混响效果。,播放舒缓音乐，关闭自动调温模式，设置空调风速1档，设置主驾出风口方向为吹脸，设置副驾出风口方向为吹脚，设置氛围灯颜色为蓝色，设置空气循环模式为内循环,,
将后视镜调整到设定的数字,将调整后视镜的角度。,"展开左后视镜,展开右后视镜",,
打开侧面接近警报,好的。打开侧面传感器警告。,"开启同步模式,启动侧面传感器警告",,
打开后显示器,好的。 打开后显示器。,打开后显示器,,
注意不要超速,好的。 将限速警报设置为打开。,开启限速警报,,
在山路上也能稳定驾驶,打开牵引力控制。这样就即使在山路上您也可以稳定地驾驶了。,打开牵引力控制,,
小心湿滑的道路,开启防滑功能。建议安全驾驶，以防止在危险的道路情况下发生事故。,"打开同步模式,关闭同步模式",,
检查安全气囊以防紧急情况,将对安全气囊进行诊断，请稍等片刻。,对安全气囊进行诊断，请稍等片刻。,,
打开红灯警报,好的。 您打开闯红灯警报。,开启同步模式，导航到目的地,,
打开疲劳检测,好的。 驾驶员疲劳检测功能开启。,打开驾驶员疲劳检测功能,,
当心行人,好的。 开启行人检测提醒,开启行人检测提醒,,
启用碰撞回避,通过启用碰撞回避来激活自动制动系统。 自动制动系统的启动可以协助您安全驾驶。,"启用自动制动系统,激活碰撞回避功能",,
不要走出车道,好的。 启用车道保持辅助。,"启动同步模式,打开空调制热模式,设置主驾座椅自动通风加热,设置副驾座椅自动通风加热,设置氛围灯颜色为蓝色",,
低速行驶时检测障碍物,好的。 该车配备了一个可以在低速行驶时检测障碍物的系统。 此功能可自动调节车速并提高安全性，即使驾驶员在疏忽或不熟悉的路况也是如此。 有关更多信息，请参阅制造商的说明或官方网站。,"开启同步模式,打开空调,设置空调风速2档,设置主驾空调温度26度,设置副驾空调温度26度,关闭全部车窗,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
将门锁设置为自动,好的。 自动锁门功能启用。,"启动同步模式,关闭全部车窗,设置空气循环模式为内循环,关闭空调风扇,关闭氛围灯",,
到下一个加油站的距离,好的。 到下一个加油站的距离会显示在导航屏幕上。,打开导航,,
在省电模式下驾驶,好的。 将其设置为节能模式。,"启动同步模式,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭氛围灯,关闭主驾车门,关闭副驾车门",,
简单介绍回家路线,这是回家路线的简单介绍。将使用导航引导您通过最短路线回家。,打开导航,,
到附近超市的路线,好的。 导航屏幕上会显示到最近超市的路线。,打开导航,,
放大导航屏幕,对不起，要使导航屏幕更大，您需要缩小，而不是放大。,"停止音乐,导航",,
到下一个弯道的距离,好的。 到下一个转弯的距离将显示在导航屏幕上。,打开导航,,
查看长途驾驶计划,长途驾驶的计划吗？ 整个路线将显示在导航屏幕上。,打开导航,,
打开驾车路线记录,好的。 开启驾车路线记录。,打开导航,,
更改途经地的顺序,顺序吗？ 将为您更改途径地的顺序。,打开导航,,
查看维护时间,将显示维护信息。 将会通知您车辆的检查时间和更换时间等其他重要信息。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,关闭全部车窗",,
查看回家需要多长时间,好的。 回家所需的时间将显示在导航屏幕上。,打开导航,,
测量驾驶时间,好的。 打开行驶时间监测器。,打开导航,,
查看充电站的拥堵情况,好的。 将为您查看充电站的拥堵情况。,打开导航,,
计算预期燃油经济性,计算油耗并将其显示在导航屏幕上。 估计的油耗是通过考虑车辆的当前驾驶条件和特性来计算的。,"关闭全部车窗,设置空调制热模式,设置空调风速2档,设置氛围灯颜色为蓝色",,
在导航屏幕上显示天气信息,好的。 在导航屏幕上显示天气情况。,打开导航,,
打开路线的节能设置,好的。 打开路线的节能设置。,"打开导航,启动同步模式",,
给我建议可以休息的地方,是驾驶过程中可以休息的场所吗？ 休息地点将会显示在导航屏幕上。,打开导航,,
查看沿途旅游景点信息,好的。 沿途的观光景点信息将显示在导航屏幕上。,打开导航,,
开启导航的重新规划路线功能,好的。 开启导航的重新规划路线功能。,打开导航，启动同步模式,,
开启省电模式,好的。 为您开启省电模式。,"启动同步模式,关闭空调风扇,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环,关闭氛围灯",,
查看过去 1 个月的驾驶数据,好的。 显示过去 1 个月的驾驶数据。,导航到目的地,,
查看车内温度变化的历史记录,好的。 显示车内温度变化的历史记录。,显示车内温度变化的历史记录,,
预测并显示前方的交通量,好的。 将在导航屏幕上显示预测的交通流量。,打开导航,,
查看本周的驾驶趋势,好的。 将分析本周的驾驶趋势并将其显示在导航屏幕上。,打开导航，显示本周驾驶趋势,,
将燃油数据存储在云端,好的。 开始将燃油数据保存到云端。,保存燃油数据到云端,,
显示整个路线的温度信息,好的。将在导航屏幕上显示整个路线的温度信息。,打开导航,,
增加驾驶辅助的通知,将辅助通知设置为高灵敏度。此后，驾驶辅助的通知将会增加。,"启动同步模式,设置辅助通知为高灵敏度",,
显示预测的轮胎磨损情况,为您显示轮胎的磨损预测数据。 目前，轮胎磨损程度为 [XX]%。,"关闭全部车窗,设置空气循环模式为内循环,空调设置为制冷模式,空调风速调整为二档,设置氛围灯颜色为蓝色",,
把路线的上下坡路线可视化,路线中的上下坡吗？ 将为您把标高图显示在导航屏幕上。,打开导航，显示标高图,,
导出驾驶数据,数据导出功能开启。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
导航最近的充电点,好的。 将在导航屏幕上显示到最近充电点的路线。,打开导航，导航到最近充电点,,
更改停车辅助设置,将显示停车辅助设置菜单。 您要更改哪些设置？,打开停车辅助设置菜单,,
把座椅放低,好的。 将座椅调低。,"副驾座椅往下调节,主驾座椅往下调节",,
把副驾的温度提高 1 度,好的。 将副驾驶的空调温度提高 1 度。,设置副驾空调温度,,
打开方向盘上的加热器,为您打开方向盘加热器。 请享受驾驶,打开方向盘加热,,
开启座椅按摩功能,好的。 打开座椅按摩功能。,"打开主驾座椅按摩,打开副驾座椅按摩",,
侧窗稍微打开一点,好的。 稍微打开侧窗。,"打开主驾车窗,打开副驾车窗",,
把脚下的空调调高,好的。将为您调高脚下的空调。,"设置主驾出风口方向为吹脚,设置副驾出风口方向为吹脚,设置空调风速1档,打开空调制热模式",,
把后面的灯光调暗一点,好的。 将后面的灯光调整到 50%。,关闭全部车窗，空调设置为制冷模式，空调风速调整为二档，设置氛围灯颜色为蓝色，设置氛围灯亮度为50%,,
调低后排座位的温度,好的。 将后座座位的空调设置为冷空调，将温度降低2度。,"设置主驾空调温度,设置副驾空调温度,降低2度",,
脑袋想凉快一下,将空调设置为将空气方向朝向您的头部。,"设置主驾出风口方向为吹脸,设置副驾出风口方向为吹脸",,
让后排的空气循环,好的。 打开后座的空气净化器。,打开PM2.5空气净化器,,
将驾驶席的温度降低1度,好的。 将驾驶员座椅的温度降低 1 度。,"设置主驾空调温度,设置副驾空调温度",,
将空调调至凉爽模式,好的。将空调设置为 20 度。,"设置主驾空调温度,设置副驾空调温度",,
使扬声器更靠近驾驶员座椅,知道了。 将扬声器平衡调整到驾驶员一侧。,"设置自动调温模式,设置主驾空调温度,设置副驾空调温度,设置主驾出风口方向为吹脸吹脚,设置副驾出风口方向为吹脸+吹脚,设置扬声器平衡到驾驶员一侧",,
稍微冷却手柄,开启手柄冷却功能。,打开方向盘加热，设置空调风速1档，设置主驾出风口方向为吹脸+吹脚，设置副驾出风口方向为吹脸吹脚,,
将照明调整到喜怒无常,这是喜怒无常的灯光，不是吗？ 我将车内灯设置为红色。,"关闭同步模式,设置氛围灯颜色为红色",,
把膝盖暖一下,好的。 打开膝部加热器。,"打开主驾座椅加热模式1档,打开副驾座椅加热模式1档",,
扩大后视镜的视野,为了让您有更好的视野调整后视镜。,"展开左后视镜,展开右后视镜",,
将车内调暗一点,好的。 将房间的亮度设置为 40%。,"设置空气循环模式为内循环,关闭全部车窗,空调设置为制冷模式,空调风速调整为二档,设置氛围灯颜色为蓝色",,
播放大自然的声音,好的。 播放大自然的声音。,播放舒缓音乐，设置氛围灯颜色为蓝色,,
